sample_name,Strain
DGRP_849_SAMN01057325,DGRP_849
DGRP_850_SAMN01057326,DGRP_850
DGRP_913_SAMN01057328,DGRP_913
DGRP_634_SAMN01057320,DGRP_634
DGRP_627_SAMN01057318,DGRP_627
DGRP_630_SAMN01057319,DGRP_630
DGRP_374_SAMN00017017,DGRP_374
DGRP_138_SAMN00013481,DGRP_138
DGRP_181_SAMN00013680,DGRP_181
DGRP_26_SAMN00013949,DGRP_26
DGRP_332_SAMN00013970,DGRP_332
DGRP_336_SAMN00013971,DGRP_336
DGRP_381_SAMN00013988,DGRP_381
DGRP_486_SAMN00014239,DGRP_486
DGRP_555_SAMN00014241,DGRP_555
DGRP_57_SAMN00014039,DGRP_57
DGRP_69_SAMN00017019,DGRP_69
DGRP_712_SAMN00014245,DGRP_712
DGRP_727_SAMN00014108,DGRP_727
DGRP_732_SAMN00014247,DGRP_732
DGRP_737_SAMN00017021,DGRP_737
DGRP_738_SAMN00014109,DGRP_738
DGRP_757_SAMN00014111,DGRP_757
DGRP_837_SAMN00014181,DGRP_837
DGRP_897_SAMN00017025,DGRP_897
DGRP_596_SAMN01057317,DGRP_596
DGRP_357_SAMN00014233,DGRP_357
DGRP_399_SAMN00014236,DGRP_399
DGRP_427_SAMN00014237,DGRP_427
DGRP_32_SAMN01057301,DGRP_32
DGRP_208_SAMN00014226,DGRP_208
DGRP_799_SAMN00014251,DGRP_799
DGRP_900_SAMN01057327,DGRP_900
DGRP_340_SAMN00013973,DGRP_340
DGRP_375_SAMN00014234,DGRP_375
DGRP_714_SAMN00014246,DGRP_714
DGRP_109_SAMN00013468,DGRP_109
DGRP_229_SAMN00013945,DGRP_229
DGRP_373_SAMN00013980,DGRP_373
DGRP_409_SAMN00014004,DGRP_409
DGRP_748_SAMN01057321,DGRP_748
DGRP_801_SAMN00014117,DGRP_801
DGRP_802_SAMN00030537,DGRP_802
DGRP_808_SAMN00014121,DGRP_808
DGRP_821_SAMN01057323,DGRP_821
DGRP_853_SAMN00014189,DGRP_853
DGRP_517_SAMN02708871,DGRP_517
DGRP_774_SAMN00014249,DGRP_774
DGRP_371_SAMN00014022,DGRP_371
DGRP_437_SAMN00014238,DGRP_437
DGRP_584_SAMN00014040,DGRP_584
DGRP_315_SAMN00014231,DGRP_315
DGRP_301_SAMN00014227,DGRP_301
DGRP_306_SAMN00014230,DGRP_306
DGRP_324_SAMN00014232,DGRP_324
DGRP_307_SAMN00014254,DGRP_307
DGRP_304_SAMN00014229,DGRP_304
DGRP_303_SAMN00014228,DGRP_303
DGRP_360_SAMN00014264,DGRP_360
